ID	gpt	llama	azure	sys_len	ref_len
handbook-077	53.53	51.6	9.48	38	37
handbook-078	11.98	10.13	13.13	16	7
handbook-079	50.2	32.52	49.63	9	9
handbook-080	33.27	39.58	10.81	47	54
handbook-081	29.94	26.87	6.44	45	59
handbook-082	35.16	53.86	20.55	35	34
handbook-083	41.35	26.44	9.36	21	19
handbook-084	41.63	25.31	14.4	18	19
handbook-085	35.39	17.73	10.86	22	20
handbook-086	39.91	32.98	16.71	97	104
handbook-087	79.54	47.32	27.89	40	43
handbook-088	45.29	60.21	21.41	35	36
handbook-089	67.12	49.62	11.81	43	48
handbook-090	22.45	33.07	12.8	44	48
handbook-091	68.26	56.22	57.92	29	28
handbook-092	20.28	13.68	11.13	29	36
handbook-093	31.97	34.18	28.12	37	41
handbook-094	30.18	35.9	10.09	20	22
handbook-095	47.18	50.89	41.35	20	18
handbook-096	30.45	54.97	27.86	9	14
handbook-098	7.16	7.25	7.25	5	7
handbook-099	82.65	15.58	31.46	12	12
handbook-100	28.66	31.97	14.69	25	30
handbook-101	67.17	67.17	10.18	9	10
handbook-102	29.79	8.07	35.3	29	29
handbook-104	36.27	13.94	6.31	15	21
handbook-105	22.93	18.56	12.29	25	22
handbook-106	32.2	34.65	23.04	61	50
handbook-107	35.22	35.03	4.45	22	18
handbook-108	43.18	35.34	14.21	33	32
handbook-109	100.0	12.7	6.57	5	5
handbook-110	13.35	32.29	13.35	7	11
handbook-112	40.32	22.95	19.48	30	28
handbook-113	43.34	17.4	23.54	45	54
handbook-114	29.78	27.97	28.92	13	12
handbook-115	10.05	24.08	5.88	13	17
handbook-116	42.77	31.14	30.76	72	68
handbook-117	57.78	34.3	23.93	19	19
handbook-118	74.87	35.85	55.6	15	15
handbook-121	47.09	41.68	50.72	17	17
handbook-122	37.9	29.28	27.44	19	16
handbook-123	22.79	17.73	8.77	18	16
handbook-124	33.87	7.45	7.83	15	18
handbook-125	60.53	26.77	19.87	25	22
handbook-126	56.48	26.58	29.07	9	10
handbook-129	4.95	6.55	3.08	30	31
handbook-132	66.06	53.73	27.76	10	10
handbook-133	45.0	21.99	23.11	22	21
handbook-134	19.91	9.21	9.09	43	51
handbook-135	10.6	15.36	13.55	12	10
handbook-136	18.09	31.82	19.86	13	14
handbook-137	39.54	49.41	15.32	36	37
handbook-139	9.84	12.19	7.99	18	11
handbook-140	27.97	43.67	27.97	13	10
handbook-141	31.07	24.37	15.41	23	22
handbook-142	4.94	5.67	4.2	7	9
handbook-143	29.48	24.14	13.23	42	43
handbook-144	30.75	21.32	22.14	71	85
handbook-145	24.97	31.09	13.09	46	44
handbook-146	29.35	31.54	15.46	16	12
handbook-147	17.34	25.08	19.45	18	24
handbook-148	14.47	12.57	7.62	32	26
handbook-149	21.24	3.99	21.16	22	20
handbook-150	29.21	14.56	3.18	17	17
handbook-151	29.73	12.8	14.36	40	39
handbook-152	55.64	43.18	24.9	20	21
handbook-153	23.18	23.18	18.0	16	13
handbook-155	31.25	41.52	13.43	12	15
handbook-156	52.35	27.68	41.65	44	47
handbook-157	23.12	22.66	30.25	75	92
handbook-158	28.64	26.24	22.13	22	24
handbook-159	31.71	19.54	6.62	43	57
handbook-160	17.67	25.52	21.85	44	62
handbook-161	24.37	23.22	11.6	42	53
handbook-162	45.0	37.84	9.48	23	24
handbook-163	23.46	8.55	13.5	20	24
handbook-164	36.08	63.49	8.02	22	26
handbook-165	53.84	13.12	30.04	17	20
handbook-166	11.02	12.87	12.87	12	10
handbook-167	48.89	23.36	7.27	7	6
handbook-168	5.3	9.67	23.36	12	7
handbook-169	61.97	48.34	29.28	24	24
handbook-170	45.91	53.38	37.8	27	23
handbook-171	47.18	25.77	10.74	18	16
handbook-172	28.89	15.6	17.54	29	32
handbook-173	19.07	9.78	10.51	22	26
handbook-174	54.45	16.22	63.08	14	14
handbook-175	39.64	31.74	39.58	14	16
handbook-176	23.9	8.22	18.55	21	27
handbook-177	21.52	11.9	24.59	32	37
handbook-178	36.83	10.94	6.37	23	27
handbook-179	18.81	16.33	7.83	21	16
handbook-180	14.25	37.84	6.82	16	14
handbook-181	38.35	26.87	16.31	47	45
handbook-182	14.53	14.42	7.39	32	42
handbook-183	29.09	19.45	19.99	34	40
handbook-184	29.36	52.36	24.24	23	27
handbook-185	76.27	58.06	15.68	42	42
handbook-186	35.11	16.15	9.4	57	56
handbook-187	37.41	28.41	3.31	30	35
handbook-188	22.52	17.06	10.59	42	44
handbook-189	21.52	22.44	20.4	46	50
handbook-190	30.56	29.37	14.05	18	24
handbook-191	17.55	12.97	16.26	51	45
handbook-192	59.79	27.04	20.95	12	16
handbook-194	55.55	18.04	13.95	10	10
handbook-195	47.36	30.45	27.6	18	18
handbook-196	63.75	52.82	20.22	19	19
handbook-197	7.71	25.62	4.07	33	42
handbook-200	33.69	12.76	3.52	27	29
handbook-201	13.96	10.75	3.96	26	30
handbook-202	9.45	12.14	20.68	45	39
handbook-203	26.09	12.86	11.79	36	35
handbook-205	17.09	13.19	6.4	21	27
handbook-206	38.85	27.57	15.12	16	19
handbook-208	47.58	36.63	5.29	25	23
handbook-209	40.14	40.49	15.62	32	28
handbook-210	43.9	42.04	5.36	35	32
handbook-211	63.18	52.27	15.81	46	46
handbook-212	43.67	18.36	24.7	12	11
handbook-216	31.07	30.47	18.97	33	29
handbook-217	34.63	15.31	20.16	17	21
handbook-219	43.47	40.17	28.98	15	15
handbook-220	29.76	22.81	21.95	18	17
handbook-223	55.76	43.01	2.95	14	18
handbook-224	80.32	28.78	17.59	20	18
handbook-225	71.89	43.05	36.38	9	10
handbook-227	58.34	40.44	10.97	21	20
handbook-228	21.11	22.09	17.97	9	6
handbook-229	41.11	17.29	15.21	7	7
handbook-231	48.89	17.29	16.34	7	7
handbook-233	29.28	27.57	9.55	18	18
handbook-236	57.07	73.49	37.7	12	11
handbook-237	100.0	40.94	40.94	6	6
handbook-238	17.83	19.54	12.98	12	12
handbook-239	23.6	38.0	28.17	25	27
handbook-241	78.25	26.76	29.62	14	13
handbook-246	40.96	18.6	13.62	27	24
handbook-247	29.82	14.1	4.43	23	21
handbook-248	61.14	31.79	14.74	38	37
handbook-249	74.87	40.51	22.04	28	28
handbook-250	50.55	29.22	31.26	200	224
handbook-251	56.61	38.51	25.94	87	103
handbook-252	39.39	47.79	35.95	135	145
handbook-253	56.39	50.82	35.72	64	64
handbook-254	42.11	45.41	23.87	106	120
handbook-255	39.24	23.97	30.65	263	269
handbook-256	52.69	56.29	41.75	84	75
handbook-257	27.06	36.48	23.11	55	50
handbook-258	26.96	19.74	32.22	72	64
handbook-259	38.48	22.72	30.41	76	92
handbook-260	32.45	29.51	31.0	23	27
handbook-261	39.42	38.55	21.77	104	112
handbook-262	19.32	19.65	15.3	27	35
handbook-263	40.65	32.61	26.1	193	233
handbook-264	25.03	27.05	17.02	207	234
handbook-265	33.31	31.16	22.23	260	290
handbook-266	50.02	64.33	15.81	87	91
handbook-267	45.92	50.19	31.81	149	168
handbook-268	51.33	53.88	29.96	90	97
handbook-269	50.03	38.75	22.74	110	126
handbook-270	49.05	41.37	25.29	158	157
handbook-271	39.07	38.42	21.38	81	97
handbook-276	64.32	16.34	14.47	10	12
handbook-277	31.55	45.23	10.31	18	18
handbook-278	20.61	20.16	5.85	8	9
handbook-283	53.85	55.1	14.24	32	30
handbook-290	53.81	34.7	22.76	74	75
handbook-291	44.86	38.13	25.2	65	71
handbook-292	49.89	45.46	22.34	171	182
handbook-293	57.05	30.68	20.4	34	31
handbook-294	31.5	39.15	21.96	34	37
handbook-295	43.95	33.04	16.87	104	109
handbook-296	22.7	25.13	40.46	20	25
handbook-297	24.57	22.27	7.65	75	78
handbook-299	16.19	17.35	8.41	63	85
handbook-300	29.41	29.49	22.34	104	123
handbook-301	22.87	19.01	6.25	199	214
handbook-302	19.63	28.05	15.0	54	55
handbook-303	8.32	9.27	10.62	39	36
handbook-304	32.87	16.47	12.06	124	150
handbook-305	18.64	17.39	17.63	131	131
handbook-306	30.95	17.38	21.09	84	115
handbook-307	51.24	48.12	36.46	39	49
handbook-308	34.76	24.98	23.35	129	160
handbook-309	52.08	55.03	42.82	64	72
ALL	38.86	33.52	22.2	9384	9978
